dateTime,value
2020-11-16,2467
2020-11-17,1331
2020-11-18,2183
2020-11-19,6051
2020-11-20,4690
2020-11-21,1247
2020-11-22,1758
2020-11-23,4431
2020-11-24,2908
2020-11-25,5845
2020-11-26,4481
2020-11-27,2425
2020-11-28,2598
2020-11-29,3336
2020-11-30,1123
2020-12-01,2065
2020-12-02,4768
2020-12-03,2677
2020-12-04,1874
2020-12-05,1768
2020-12-06,2224
2020-12-07,2610
2020-12-08,3069
2020-12-09,1887
2020-12-10,3171
2020-12-11,2003
2020-12-12,2640
2020-12-13,1224
2020-12-14,1751
2020-12-15,5655
2020-12-16,2111
2020-12-17,4406
2020-12-18,2928
2020-12-19,1834
2020-12-20,3288
2020-12-21,2628
2020-12-22,2424
2020-12-23,1888
2020-12-24,6426
2020-12-25,1581
2020-12-26,6836
2020-12-27,6297
2020-12-28,1330
2020-12-29,6114
2020-12-30,4601
2020-12-31,848
2021-01-01,4430
2021-01-02,4530
2021-01-03,4262
2021-01-04,1396
2021-01-05,1249
2021-01-06,3500
2021-01-07,5534
2021-01-08,2581
2021-01-09,4886
2021-01-10,3422
2021-01-11,1996
2021-01-12,2376
2021-01-13,2739
2021-01-14,7528
2021-01-15,8850
2021-01-16,3385
2021-01-17,1613
2021-01-18,3513
2021-01-19,4663
2021-01-20,3672
2021-01-21,2911
2021-01-22,4617
2021-01-23,1223
2021-01-24,2178
2021-01-25,1571
2021-01-26,1498
2021-01-27,2357
2021-01-28,1608
2021-01-29,6690
2021-01-30,2028
2021-01-31,3453
2021-02-01,1870
2021-02-02,2191
2021-02-03,1697
2021-02-04,2351
2021-02-05,4878
2021-02-06,4716
2021-02-07,2300
2021-02-08,1659
2021-02-09,4830
2021-02-10,8306
2021-02-11,5494
2021-02-12,3236
2021-02-13,3154
2021-02-14,7784
2021-02-15,1958
2021-02-16,1819
2021-02-17,2085
2021-02-18,3250
2021-02-19,3292
2021-02-20,11000
2021-02-21,4286
2021-02-22,1197
2021-02-23,1334
2021-02-24,3486
2021-02-25,9070
2021-02-26,2938
2021-02-27,2672
2021-02-28,1704
2021-03-01,1305
2021-03-02,1260
2021-03-03,8795
2021-03-04,3126
2021-03-05,1983
2021-03-06,3418
2021-03-07,5867
2021-03-08,6258
2021-03-09,2436
2021-03-10,1393
2021-03-11,3602
2021-03-12,2812
2021-03-13,3173
2021-03-14,8608
2021-03-15,4029
2021-03-16,2511
2021-03-17,7338
2021-03-18,1619
2021-03-19,2971
2021-03-20,7780
2021-03-21,5867
2021-03-22,4309
2021-03-23,6652
2021-03-24,3708
2021-03-25,5583
